id,username,email,role,first_name,last_name,phone,gender,dob
550e8400-e29b-41d4-a716-446655440000,admin_boss,admin@example.com,admin,Hung,Nguyen,0901234567,Male,1985-05-20
6ba7b810-9dad-11d1-80b4-00c04fd430c8,staff_kane,staff@example.com,staff,Lan,Tran,0907778889,Female,1995-10-10
8d5b16e4-862d-4861-b4d2-79069d239c04,customer_john,john@example.com,customer,John,Doe,0888999000,Male,2000-01-01
96502586-5ddc-4104-8b53-a3cdf3d3a113,user_1,user_1@example.com,customer,UserF_0,UserL_0,0912567105,Unisex,1993-01-20
19ca301a-aa17-4fc7-be5e-bf241dbef804,user_2,user_2@example.com,customer,UserF_1,UserL_1,0912836688,Female,2010-07-20
cc148f48-5031-4b5f-8a97-90a6ba5bcdc6,user_3,user_3@example.com,customer,UserF_2,UserL_2,0912634939,Female,2004-10-09
7518e1d4-59ac-4cfb-8833-373b3823f923,user_4,user_4@example.com,customer,UserF_3,UserL_3,0912495908,Unisex,1994-03-30
9eae117c-2b79-4a3f-ba11-600a83a44b71,user_5,user_5@example.com,customer,UserF_4,UserL_4,0912285807,Female,1995-03-01
796e5228-82be-4626-b3e9-498b7f8836e9,user_6,user_6@example.com,customer,UserF_5,UserL_5,0912425636,Female,2017-01-04
15f4e4f7-f759-49ef-bd96-9a251929bc10,user_7,user_7@example.com,customer,UserF_6,UserL_6,0912839714,Unisex,1994-02-14
a6338adc-3dc6-48f0-9193-cd717df44bd8,user_8,user_8@example.com,customer,UserF_7,UserL_7,0912100451,Unisex,1994-10-12
7bf3a218-ebc8-4ed9-90fc-c3fd9d7476f2,user_9,user_9@example.com,customer,UserF_8,UserL_8,0912791232,Unisex,2015-01-28
fb61fc57-4873-4c71-a83d-a159a1998ded,user_10,user_10@example.com,customer,UserF_9,UserL_9,0912846010,Unisex,2001-05-21
978bf6e1-738f-4ebf-bf72-079bb5bb175b,user_11,user_11@example.com,customer,UserF_10,UserL_10,0912533233,Male,1994-04-03
26cf440c-b1df-4947-ab81-def42d5d52a8,user_12,user_12@example.com,customer,UserF_11,UserL_11,0912414428,Male,1990-05-25
5524d32e-ca1c-4eca-9a64-60a6ab63bb98,user_13,user_13@example.com,customer,UserF_12,UserL_12,0912240334,Male,2002-10-14
b51be3e3-96b7-4182-913f-124c79664224,user_14,user_14@example.com,customer,UserF_13,UserL_13,0912250478,Male,2011-10-12
41ce58a8-3bd2-48fe-a5d9-1eb0271a9ba3,user_15,user_15@example.com,customer,UserF_14,UserL_14,0912217307,Female,2012-10-01
3f875ecd-d594-4c1d-80fe-61b03e6cd3a2,user_16,user_16@example.com,customer,UserF_15,UserL_15,0912477690,Female,1997-01-03
e45ff2d4-7ff2-4ad7-91d7-c383a7e4e9e2,user_17,user_17@example.com,customer,UserF_16,UserL_16,0912649908,Unisex,1999-02-25
3ddbe7ea-ef6b-4be8-8e9b-66d3b8992cbb,user_18,user_18@example.com,customer,UserF_17,UserL_17,0912518184,Female,1991-06-01
d7d4266f-d3f3-4423-b91c-5c8421f07cf4,user_19,user_19@example.com,customer,UserF_18,UserL_18,0912452769,Female,2012-07-30
2215d87c-dcc8-4d75-8a6d-874799d2e6ea,user_20,user_20@example.com,customer,UserF_19,UserL_19,0912925313,Female,1990-08-29
1db622dd-169d-4eff-ab94-b952fb6b9458,user_21,user_21@example.com,customer,UserF_20,UserL_20,0912424424,Female,2010-04-20
40442aa7-c1b5-4908-9f5a-dd75cc537efa,user_22,user_22@example.com,customer,UserF_21,UserL_21,0912593949,Male,1994-01-01
46fe43b7-cc6c-478d-bb36-39c057089b93,user_23,user_23@example.com,customer,UserF_22,UserL_22,0912225502,Male,1999-07-09
51ec9b23-9585-4b85-a9d4-dd4732074ba6,user_24,user_24@example.com,customer,UserF_23,UserL_23,0912674822,Male,2007-01-09
a7d90bf0-95ba-41b9-8453-e804b80abae8,user_25,user_25@example.com,customer,UserF_24,UserL_24,0912100547,Unisex,1991-09-09
1bc257e0-b596-4a5c-9c7d-1efe0631a6de,user_26,user_26@example.com,customer,UserF_25,UserL_25,0912689934,Male,1993-02-27
07d02ae0-2af0-47c4-9dda-03e684156615,user_27,user_27@example.com,customer,UserF_26,UserL_26,0912314403,Unisex,1991-08-04
dacf8e6a-8caa-4f1d-bdeb-671e19aef92b,user_28,user_28@example.com,customer,UserF_27,UserL_27,0912369442,Unisex,1993-02-01
ad1fefe2-330e-40cb-a06c-6c4fd00b30ec,user_29,user_29@example.com,customer,UserF_28,UserL_28,0912945804,Male,2005-05-01
a8b57a1d-5296-4873-9242-da27a55541d9,user_30,user_30@example.com,customer,UserF_29,UserL_29,0912153926,Female,1991-07-18
18433c99-91e8-4b91-b5d9-9e632d25fedd,user_31,user_31@example.com,customer,UserF_30,UserL_30,0912247708,Male,1991-02-25
0a191796-d056-4638-aba8-65c2493f5e52,user_32,user_32@example.com,customer,UserF_31,UserL_31,0912976829,Unisex,1992-06-06
b833832d-b742-4558-9fb3-d6e2f8eadf58,user_33,user_33@example.com,customer,UserF_32,UserL_32,0912920111,Female,2017-02-14
5d339fa8-1858-4e61-8a6f-3833f728301e,user_34,user_34@example.com,customer,UserF_33,UserL_33,0912402356,Female,2005-05-20
ebdfd756-e38d-4ed7-9870-8eb608cff042,user_35,user_35@example.com,customer,UserF_34,UserL_34,0912703151,Unisex,1991-12-01
4e4ade4f-c1e6-4bf4-be64-65ceaa2f2768,user_36,user_36@example.com,customer,UserF_35,UserL_35,0912388704,Unisex,2013-02-26
ba082a2d-bbbd-42ea-bc5a-a381ea54a647,user_37,user_37@example.com,customer,UserF_36,UserL_36,0912798155,Male,1992-06-15
33330d46-841c-4e5a-ab9b-1f28a0dfe904,user_38,user_38@example.com,customer,UserF_37,UserL_37,0912438602,Unisex,1991-12-21
eeb14f1f-947c-4df5-b0f1-4b470868c901,user_39,user_39@example.com,customer,UserF_38,UserL_38,0912273651,Female,1996-08-09
1f78c3f7-5fb3-41f5-b914-6694dfe13767,user_40,user_40@example.com,customer,UserF_39,UserL_39,0912108843,Male,2008-04-28
c3577a78-1748-4e2f-a35f-6e82373e0c4a,user_41,user_41@example.com,customer,UserF_40,UserL_40,0912835495,Male,1997-01-01
c09178b6-b81c-4750-b32e-f382330c8319,user_42,user_42@example.com,customer,UserF_41,UserL_41,0912504213,Male,1994-10-12
8050b025-abf8-4b77-a7e3-5f7e5a883407,user_43,user_43@example.com,customer,UserF_42,UserL_42,0912855356,Female,2002-08-29
acbe4480-aa5a-4f59-9ecd-5c4916e1d8dd,user_44,user_44@example.com,customer,UserF_43,UserL_43,0912579625,Male,2002-11-29
b4b8f2a4-04f1-43a3-893f-b32eeb5077c3,user_45,user_45@example.com,customer,UserF_44,UserL_44,0912525365,Unisex,2015-12-10
672b2fa0-0b61-406c-96c3-dda4e30c3100,user_46,user_46@example.com,customer,UserF_45,UserL_45,0912297773,Female,1999-03-27
