id,username,email,role,phone_number,gender,is_active,date_of_birth,first_name,last_name,avatar_url,height,weight,foot_length,position,employment_type
ad785a29-e665-4d51-ac44-22d3c92320e8,admin_ad785a,admin_ad785a@example.com,ADMIN,0927618191,other,True,2001-01-20,Chi,Võ,https://images.example.com/chan-dung-mac-dinh.jpg,183.1,52.7,27.7,Giám Đốc,Không Áp Dụng
e477431a-5bd8-45e8-af15-e3a10ff0bb54,admin_e47743,admin_e47743@example.com,ADMIN,0579545048,other,True,1994-04-27,Ngọc,Huỳnh,https://images.example.com/chan-dung-mac-dinh.jpg,157.1,60.0,27.9,Giám Đốc,Không Áp Dụng
cdbc5d48-8e72-4426-8eef-1bb10f9e7193,admin_cdbc5d,admin_cdbc5d@example.com,ADMIN,0135127766,female,True,1987-04-11,Chi,Trần,https://images.example.com/chan-dung-mac-dinh.jpg,155.5,63.3,24.3,Quản Lý,Không Áp Dụng
0088948b-0771-4cb6-b9fe-68071788aacb,admin_008894,admin_008894@example.com,ADMIN,0348067211,other,True,1994-04-06,Hạnh,Nguyễn,https://images.example.com/chan-dung-mac-dinh.jpg,186.9,73.6,26.6,Giám Sát,Không Áp Dụng
98a8edaf-c89f-4fc6-bb10-6b6e8e055a9c,admin_98a8ed,admin_98a8ed@example.com,ADMIN,0779788640,other,True,1988-02-20,Tuấn,Huỳnh,https://images.example.com/chan-dung-mac-dinh.jpg,170.6,70.9,28.5,Quản Lý,Không Áp Dụng
b41a2165-d0ea-4a5d-a90d-dd70d52a1d6d,staff_b41a21,staff_b41a21@example.com,STAFF,0673406386,female,True,2003-04-02,Bình,Huỳnh,https://images.example.com/chan-dung-mac-dinh.jpg,188.3,48.5,27.3,Không Áp Dụng,Toàn Thời Gian
37799398-a7e0-44a0-9c06-bfa5bc9d6b56,staff_377993,staff_377993@example.com,STAFF,0377880895,male,True,2006-01-14,Bình,Huỳnh,https://images.example.com/chan-dung-mac-dinh.jpg,175.8,49.9,26.5,Không Áp Dụng,Toàn Thời Gian
2f13c6af-9a87-4b13-a833-a826b335d254,staff_2f13c6,staff_2f13c6@example.com,STAFF,0577369737,other,True,1988-05-25,Thảo,Phạm,https://images.example.com/chan-dung-mac-dinh.jpg,152.0,78.3,23.8,Không Áp Dụng,Bán Thời Gian
083411c5-dbea-4b05-a262-452ade7727bc,staff_083411,staff_083411@example.com,STAFF,0224524038,other,True,2000-07-23,Khánh,Lê,https://images.example.com/chan-dung-mac-dinh.jpg,178.0,54.6,25.2,Không Áp Dụng,Toàn Thời Gian
856980ec-f533-4834-9e5e-6ea10ba1e0f3,staff_856980,staff_856980@example.com,STAFF,0133391863,female,True,1988-04-02,Khánh,Lê,https://images.example.com/chan-dung-mac-dinh.jpg,172.0,69.0,22.0,Không Áp Dụng,Bán Thời Gian
74667d90-0b6f-4f3a-8842-981aeac199c7,staff_74667d,staff_74667d@example.com,STAFF,0690585312,male,True,1994-03-25,Bình,Huỳnh,https://images.example.com/chan-dung-mac-dinh.jpg,166.4,52.3,21.6,Không Áp Dụng,Toàn Thời Gian
1fbf147d-4e0f-4e31-806b-4741281634a8,staff_1fbf14,staff_1fbf14@example.com,STAFF,0071612655,male,True,1998-06-08,Nam,Lê,https://images.example.com/chan-dung-mac-dinh.jpg,154.2,47.3,28.0,Không Áp Dụng,Toàn Thời Gian
4fe7f7a8-4f53-4ecd-bdee-8d4bc72b531f,staff_4fe7f7,staff_4fe7f7@example.com,STAFF,0359650244,male,True,1993-11-18,Hạnh,Võ,https://images.example.com/chan-dung-mac-dinh.jpg,157.1,42.4,26.5,Không Áp Dụng,Toàn Thời Gian
955ae39e-6a28-4bc1-804c-520e900d18e5,staff_955ae3,staff_955ae3@example.com,STAFF,0078744328,male,True,2003-09-01,Bình,Lê,https://images.example.com/chan-dung-mac-dinh.jpg,170.1,43.7,26.3,Không Áp Dụng,Bán Thời Gian
28917020-18db-48a6-8e40-453162cb5713,staff_289170,staff_289170@example.com,STAFF,0900115532,other,True,2005-07-03,Minh,Vũ,https://images.example.com/chan-dung-mac-dinh.jpg,151.3,69.0,26.9,Không Áp Dụng,Toàn Thời Gian
b290b562-28ce-459f-b431-8dcb4497d7b3,customer_b290b5,customer_b290b5@example.com,CUSTOMER,0206603797,male,True,2005-08-02,Tuấn,Phạm,https://images.example.com/chan-dung-mac-dinh.jpg,176.9,46.7,26.4,Không Áp Dụng,Không Áp Dụng
15043dd5-65ea-4f13-b731-3d1a2e0e6f83,customer_15043d,customer_15043d@example.com,CUSTOMER,0490624880,male,True,2005-06-17,Linh,Võ,https://images.example.com/chan-dung-mac-dinh.jpg,169.3,47.4,22.2,Không Áp Dụng,Không Áp Dụng
87baed15-890b-4555-9766-60295410902d,customer_87baed,customer_87baed@example.com,CUSTOMER,0734276554,female,True,1997-05-24,Bình,Nguyễn,https://images.example.com/chan-dung-mac-dinh.jpg,152.8,68.6,28.0,Không Áp Dụng,Không Áp Dụng
0cdffb8a-9a23-45b0-927f-837f071bfed4,customer_0cdffb,customer_0cdffb@example.com,CUSTOMER,0972765829,other,True,2000-04-20,Ngọc,Trần,https://images.example.com/chan-dung-mac-dinh.jpg,183.9,58.4,27.9,Không Áp Dụng,Không Áp Dụng
77b07960-56e3-476d-a1f1-22dd2d8928e9,customer_77b079,customer_77b079@example.com,CUSTOMER,0032368358,male,True,2004-02-06,Chi,Võ,https://images.example.com/chan-dung-mac-dinh.jpg,153.7,42.0,22.1,Không Áp Dụng,Không Áp Dụng
a1d13d5f-8494-427f-9988-9e9b05172a1f,customer_a1d13d,customer_a1d13d@example.com,CUSTOMER,0121081681,female,True,1991-07-28,Thảo,Vũ,https://images.example.com/chan-dung-mac-dinh.jpg,188.9,47.6,26.8,Không Áp Dụng,Không Áp Dụng
c96f8d9d-efc6-4651-82ba-b01ad82954f2,customer_c96f8d,customer_c96f8d@example.com,CUSTOMER,0951919764,male,True,2005-03-11,Lâm,Hoàng,https://images.example.com/chan-dung-mac-dinh.jpg,150.6,63.7,28.0,Không Áp Dụng,Không Áp Dụng
64e18ba7-946d-4760-ad9d-5c749011fc88,customer_64e18b,customer_64e18b@example.com,CUSTOMER,0167365984,other,True,2004-11-26,Nam,Hoàng,https://images.example.com/chan-dung-mac-dinh.jpg,162.5,43.6,23.4,Không Áp Dụng,Không Áp Dụng
d26bea14-a5c4-4ffb-9b51-dcd6a12105ca,customer_d26bea,customer_d26bea@example.com,CUSTOMER,0313197136,female,True,1989-06-14,Phương,Vũ,https://images.example.com/chan-dung-mac-dinh.jpg,189.6,68.1,28.2,Không Áp Dụng,Không Áp Dụng
139d1738-d830-4726-a369-bf83d7bed259,customer_139d17,customer_139d17@example.com,CUSTOMER,0597867690,other,True,2002-09-02,Ân,Đặng,https://images.example.com/chan-dung-mac-dinh.jpg,170.9,64.0,23.2,Không Áp Dụng,Không Áp Dụng
a69dfac9-d532-4d51-bd07-92e2b508936d,customer_a69dfa,customer_a69dfa@example.com,CUSTOMER,0110739880,other,True,1992-11-22,Minh,Trần,https://images.example.com/chan-dung-mac-dinh.jpg,165.5,70.1,26.8,Không Áp Dụng,Không Áp Dụng
f8c54815-6983-4764-a043-c945f7bf8999,customer_f8c548,customer_f8c548@example.com,CUSTOMER,0242468548,other,True,2004-03-04,Hạnh,Vũ,https://images.example.com/chan-dung-mac-dinh.jpg,155.9,47.0,25.8,Không Áp Dụng,Không Áp Dụng
bcb8e8f3-1449-47d6-9d10-57ec8bfa3905,customer_bcb8e8,customer_bcb8e8@example.com,CUSTOMER,0032824059,male,True,2005-05-02,Thành,Trần,https://images.example.com/chan-dung-mac-dinh.jpg,188.4,61.0,22.0,Không Áp Dụng,Không Áp Dụng
d5511c7a-fcf7-42c4-95c4-413a06b7bdf1,customer_d5511c,customer_d5511c@example.com,CUSTOMER,0160894605,female,True,2008-02-07,Vy,Lê,https://images.example.com/chan-dung-mac-dinh.jpg,155.0,74.4,28.2,Không Áp Dụng,Không Áp Dụng
